lat,lng
37.552466,126.971631
37.552507,126.971631
37.552551,126.971631
37.55258,126.971615
37.552604,126.971598
37.552604,126.971598
37.552539,126.971647
37.552657,126.971598
37.552734,126.971549
37.552791,126.971549
37.55282,126.971549
37.55282,126.971549
37.552828,126.971566
37.552856,126.971582
37.552901,126.971598
37.552905,126.971598
37.552897,126.971598
37.552885,126.971598
37.552869,126.971598
37.552852,126.971615
37.552844,126.971615
37.55284,126.971615
37.552828,126.971631
37.55282,126.971631
37.55282,126.971615
37.552828,126.971566
37.552832,126.971549
37.552836,126.971533
37.552836,126.971517
37.552844,126.971517
37.552848,126.971517
37.552856,126.971501
37.552861,126.971484
37.552865,126.971468
37.552869,126.971468
37.552869,126.971452
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971436
37.552873,126.971419
37.552869,126.971419
37.552869,126.971419
37.552869,126.971419
37.552869,126.971419
37.552869,126.971419
37.552869,126.971419
37.552869,126.971419
37.552865,126.971436
37.552869,126.971436
37.552869,126.971436
37.552865,126.971436
37.552865,126.971436
37.552861,126.971436
37.552856,126.971436
37.552856,126.971452
37.552852,126.971452
37.552852,126.971452
37.552848,126.971452
37.552848,126.971452
37.552844,126.971452
37.55284,126.971468
37.552836,126.971468
37.552836,126.971468
37.552832,126.971468
37.55282,126.971468
37.552804,126.971468
37.552791,126.971468
37.552759,126.971468
37.552722,126.971452
37.552665,126.971452
37.552604,126.971452
37.552543,126.971452
37.552409,126.971452
37.552246,126.971452
37.552071,126.971419
37.551876,126.971387
37.551737,126.971403
37.551514,126.971403
37.551278,126.971387
37.551025,126.971354
37.550749,126.971322
37.550557,126.971305
37.55026,126.971289
37.549967,126.971273
37.549674,126.971273
37.549386,126.971273
37.549093,126.971289
37.548901,126.971289
37.548617,126.971289
37.548328,126.971289
37.548039,126.971289
37.54775,126.971289
37.547559,126.971273
37.547266,126.971289
37.546969,126.971289
37.546667,126.971289
37.546366,126.971289
37.546053,126.971289
37.54585,126.971289
37.545536,126.971289
37.545215,126.971273
37.544881,126.971273
37.544539,126.971273
37.544312,126.971273
37.543966,126.971273
37.543612,126.971273
37.54325,126.971289
37.542883,126.971289
37.542505,126.971289
37.542257,126.971289
37.541874,126.971289
37.541492,126.971273
37.541097,126.971257
37.54069,126.971257
37.540409,126.971273
37.539974,126.971273
37.539526,126.971273
37.539058,126.971273
37.538566,126.971273
37.538053,126.971257
37.537699,126.97124
37.537154,126.971191
37.536597,126.97111
37.536015,126.970996
37.535433,126.970833
37.534875,126.970573
37.534509,126.970361
37.53398,126.969987
37.533508,126.969515
37.533073,126.96901
37.532658,126.968457
37.532381,126.968083
37.53197,126.967529
37.531563,126.96696
37.531156,126.966406
37.53075,126.965853
37.530375,126.965283
37.52878,126.963232
37.528296,126.962565
37.528023,126.962174
37.52762,126.961605
37.527222,126.961051
37.526831,126.960514
37.52644,126.959961
37.526184,126.959603
37.52581,126.959049
37.525439,126.958512
37.525069,126.957975
37.524687,126.957471
37.524414,126.957145
37.524015,126.956689
37.523621,126.956234
37.523222,126.955778
37.522823,126.955322
37.52242,126.954867
37.522152,126.954557
37.521745,126.954085
37.521334,126.953613
37.520915,126.953141
37.520496,126.952653
37.520072,126.952148
37.519792,126.951823
37.519377,126.951351
37.518958,126.950879
37.518542,126.950407
37.518127,126.949919
37.517716,126.949447
