lat,lng,altitude
37.54816741,126.9713228,0
37.54767276,126.9713277,0
37.54711289,126.9713319,0
37.54630829,126.97133,0
37.54538125,126.9713269,0
37.54489048,126.9713232,0
37.54470019,126.9713147,0
37.54437555,126.9712983,0
37.54411074,126.9712825,0
37.54370619,126.9712609,0
37.54352256,126.9712538,0
37.54318343,126.9712511,0
37.54276717,126.9712528,0
37.54247191,126.9712544,0
37.54204637,126.9712547,0
37.54154496,126.9712546,0
37.53943707,126.9712591,0
37.5390009,126.9712629,0
37.53865113,126.9712653,0
37.53840101,126.9712627,0
37.53811359,126.9712474,0
37.5379433,126.9712418,0
37.53767182,126.9712263,0
37.53743098,126.9712068,0
37.53718464,126.9711826,0
37.53666799,126.9711209,0
37.53594753,126.9710259,0
37.53577958,126.9709903,0
37.5355608,126.9709305,0
37.53542879,126.970891,0
37.53528327,126.9708433,0
37.53514711,126.9707904,0
37.53491995,126.9706924,0
37.53464042,126.9705418,0
37.5344209,126.9704019,0
37.53412478,126.9701932,0
37.53374511,126.9698758,0
37.53338451,126.9694796,0
37.5332453,126.9693079,0
37.5332453,126.9693079,0
37.53320205,126.9692545,0
37.5331065,126.9691367,0
37.5331065,126.9691367,0
37.53320205,126.9692545,0
37.53305608,126.9690745,0
37.53305608,126.9690745,0
37.53293594,126.9689263,0
37.53239832,126.9682611,0
37.53233299,126.9681753,0
37.53233299,126.9681753,0
37.53110248,126.966559,0
37.53079367,126.9661284,0
37.53068575,126.9659792,0
37.52877685,126.9630586,0
37.52853636,126.9627291,0
37.52825747,126.9623494,0
37.52818541,126.9622499,0
37.52798633,126.961975,0
37.52774818,126.9616485,0
37.52747145,126.9612688,0
37.52725295,126.960965,0
37.52694042,126.9605235,0
37.52681774,126.9603658,0
37.52665603,126.9601431,0
37.52646078,126.9598714,0
37.52622298,126.9595309,0
37.52581642,126.9589347,0
37.52547882,126.9584447,0
37.52517503,126.958014,0
37.52504099,126.9578279,0
37.52500057,126.9577751,0
37.52486359,126.957596,0
37.5245508,126.9571982,0
37.52424098,126.9568146,0
37.52386943,126.9563927,0
37.52374612,126.9562521,0
37.52326731,126.9557097,0
37.5227656,126.9551424,0
37.5223067,126.95462,0
37.52185654,126.9541135,0
37.52139249,126.9535756,0
37.52087203,126.9529915,0
37.51838473,126.9501666,0
37.51908658,126.9509667,0
37.51968153,126.9516505,0
37.52035894,126.9524099,0
37.51823761,126.95,0
37.51764519,126.9493291,0
37.51682794,126.9483996,0
37.51633898,126.9478283,0
37.516059,126.9475395,0
37.51577702,126.9472091,0
37.51548735,126.9468137,0
37.51528556,126.9464933,0
37.51509348,126.9461326,0
37.5149507,126.9457879,0
37.51483539,126.9454463,0
37.51475018,126.9451146,0
37.51469177,126.9448615,0
37.5146645,126.9447272,0
37.51462812,126.9443907,0
37.51459026,126.9439702,0
37.5145733,126.9437375,0
37.51448458,126.9429152,0
37.51447058,126.9427869,0
37.51443146,126.9423792,0
37.5143615,126.9417408,0
37.51429759,126.9411537,0
37.51422937,126.9405728,0
37.51415577,126.9400575,0
37.51406959,126.939446,0
37.51397806,126.9387805,0
37.51390534,126.9382279,0
37.51387348,126.937797,0
37.51386909,126.9375036,0
37.51387276,126.9372723,0
37.51388884,126.9370179,0
37.51391392,126.9367465,0
37.51397201,126.9363612,0
37.51403425,126.936,0
37.51406319,126.9358557,0
37.51412708,126.9355372,0
37.51424023,126.935022,0
37.51434395,126.9345526,0
37.51439685,126.9342577,0
37.51442838,126.9340743,0
37.51446756,126.9337416,0
37.5144902,126.9334249,0
37.51449572,126.9333477,0
37.51449851,126.9330257,0
37.51448385,126.9327521,0
37.51445658,126.9324914,0
37.51445625,126.9324891,0
37.51442809,126.9322953,0
37.51438462,126.932057,0
37.51433086,126.9318029,0
37.51428561,126.931611,0
37.5142205,126.9313669,0
37.51414284,126.9310666,0
37.51411004,126.930924,0
37.51393871,126.9302578,0
37.51378258,126.9296515,0
37.51367308,126.9292282,0
37.5136089,126.9289709,0
37.51316402,126.9270549,0
37.51313713,126.9268554,0
37.51311507,126.9266275,0
37.51309809,126.9264129,0
37.51308427,126.9261649,0
37.51308621,126.9259634,0
37.51309085,126.9257775,0
37.51310127,126.9255459,0
37.5131144,126.9253694,0
37.51312375,126.9252553,0
37.51313547,126.9251532,0
37.51314959,126.9250515,0
37.51315649,126.925,0
37.51316279,126.9249529,0
37.51318314,126.9248303,0
37.51320613,126.9246989,0
37.51323767,126.9245424,0
37.51326338,126.9244227,0
37.51330159,126.9242598,0
37.51333256,126.9241451,0
37.51336283,126.9240312,0
37.51343069,126.9238119,0
37.51346283,126.9237135,0
37.51349592,126.9236233,0
37.51352598,126.9235435,0
37.51356595,126.9234407,0
37.51361015,126.9233323,0
37.51366601,126.9231983,0
37.51372521,126.9230685,0
37.51378607,126.9229414,0
37.51383343,126.9228512,0
37.5138973,126.9227311,0
37.51396964,126.9226047,0
37.51402914,126.9225022,0
37.51409214,126.922401,0
37.51415916,126.9222979,0
37.51429982,126.9220939,0
37.51438996,126.9219723,0
37.51449605,126.9218335,0
37.51462437,126.9216673,0
37.51471732,126.9215546,0
37.51485233,126.9213889,0
37.51511204,126.9210593,0
37.51521107,126.9209316,0
37.5152906,126.920826,0
37.51537388,126.9207187,0
37.51551242,126.9205269,0
37.51558524,126.920419,0
37.51562781,126.9203539,0
37.5156837,126.9202763,0
37.51574399,126.9201838,0
37.5157897,126.9201079,0
37.51584042,126.9200272,0
37.5159488,126.9198443,0
37.51600347,126.9197514,0
37.51606761,126.919629,0
37.51613043,126.9195071,0
37.51618449,126.9193896,0
37.51624525,126.9192612,0
37.51629821,126.9191468,0
37.5163504,126.9190244,0
37.51641082,126.9188742,0
37.51646337,126.9187387,0
37.51651879,126.9185855,0
37.51655266,126.9184828,0
37.51658869,126.9183669,0
37.51664593,126.9181801,0
37.51669786,126.9179896,0
37.51675621,126.9177743,0
37.5168038,126.9175711,0
37.51683942,126.9174166,0
37.51696438,126.9165541,0
37.51698825,126.916254,0
37.51700301,126.9159473,0
37.51700448,126.9156609,0
37.51699722,126.9152678,0
37.51697763,126.9148198,0
37.51696556,126.914646,0
37.51693769,126.9142139,0
37.51690512,126.913753,0
37.51687116,126.9133019,0
37.51681433,126.9124475,0
37.51681433,126.9124475,0
37.51680225,126.9122659,0
37.51676766,126.9117668,0
37.51671843,126.9113002,0
37.51668321,126.911055,0
37.51663784,126.910814,0
37.51658134,126.9105822,0
37.51651697,126.9103539,0
37.51643472,126.910107,0
37.51635484,126.9099019,0
37.51623331,126.9096013,0
37.51610609,126.909295,0
37.51594902,126.9089295,0
37.51505313,126.9068182,0
37.51490883,126.9064888,0
37.51460121,126.9057571,0
37.51437693,126.9052362,0
37.51419269,126.9048142,0
37.51401248,126.9043894,0
37.51382795,126.9039538,0
37.51365127,126.9035252,0
37.51343439,126.9029765,0
37.51325347,126.9024888,0
37.51307132,126.9019915,0
37.51290325,126.9015379,0
