lat,lng
37.502775,126.881396
37.502934,126.881689
37.503297,126.882189
37.50364,126.882735
37.503999,126.883265
37.504427,126.883668
37.504794,126.884141
37.50517,126.884567
37.505511,126.885047
37.505826,126.885587
37.506153,126.886107
37.506317,126.886365
37.506663,126.886851
37.50694,126.887408
37.507177,126.888043
37.507768,126.889177
37.50803,126.889765
37.508214,126.890464
37.508439,126.891087
37.508712,126.89162
37.508964,126.892225
37.509201,126.892794
37.509495,126.893227
37.509831,126.893618
37.510121,126.894098
37.510395,126.894607
37.510656,126.895124
37.510785,126.895376
37.511034,126.895891
37.51127,126.896407
37.511503,126.896906
37.511779,126.897324
37.512007,126.897825
37.512208,126.898352
37.512407,126.898867
37.512604,126.899383
37.51279,126.899903
37.512974,126.900398
37.513151,126.900883
37.513242,126.901111
37.513411,126.901577
37.513585,126.902021
37.513757,126.902461
37.51393,126.902895
37.514105,126.903313
37.514271,126.903742
37.515108,126.90596
37.515284,126.906387
37.516718,126.910786
37.516999,126.913597
37.517056,126.914063
37.517175,126.914445
37.517216,126.914937
37.517263,126.915414
37.517263,126.915896
37.516276,126.919743
37.515994,126.920051
37.515707,126.920398
37.51543,126.920727
37.51515,126.921043
37.514835,126.921431
37.514553,126.921808
37.514293,126.922201
37.514182,126.922398
37.513994,126.92279
37.513816,126.923222
37.513658,126.923685
37.513563,126.924124
37.51348,126.924603
37.513401,126.925096
37.513418,126.925516
37.513511,126.925925
37.513729,126.926156
37.514566,126.930007
37.514522,126.930725
37.514559,126.930997
37.51464,126.931514
37.51465,126.932147
37.514632,126.932763
37.514592,126.933331
37.514494,126.933922
37.514414,126.934418
37.51431,126.934906
37.514202,126.9354
37.514109,126.935901
37.514041,126.936379
37.513976,126.936852
37.51396,126.93709
37.513944,126.937582
37.513945,126.938067
37.513987,126.938538
37.514041,126.938989
37.514077,126.939444
37.514126,126.939883
37.514182,126.940298
37.514233,126.940699
37.514297,126.94108
37.514342,126.94145
37.514383,126.941805
37.514426,126.942146
37.514446,126.942313
37.514485,126.942618
37.514528,126.942919
37.514563,126.943218
37.514596,126.943505
37.514617,126.943774
37.514642,126.944043
37.514675,126.944309
37.514718,126.944571
37.51476,126.944829
37.514803,126.945084
37.514868,126.945332
37.514951,126.945559
37.514995,126.945669
37.515092,126.945884
37.515201,126.94609
37.515302,126.946294
37.51541,126.946488
37.515524,126.946675
37.515646,126.946852
37.515768,126.947023
37.515902,126.947186
37.516033,126.947344
37.516167,126.9475
37.516233,126.947578
37.516367,126.947732
37.516483,126.947863
37.516599,126.947998
37.516719,126.94815
37.516831,126.948288
37.516956,126.948438
37.517096,126.948575
37.517204,126.94875
37.517338,126.948914
37.51746,126.949057
37.517598,126.949188
37.517705,126.949337
37.517773,126.949405
37.517891,126.949536
37.517976,126.949683
37.518096,126.949818
37.51822,126.950002
37.518344,126.950199
37.5185,126.950363
37.518655,126.95054
37.51884,126.950743
37.519036,126.950952
37.51922,126.951161
37.519402,126.95136
37.519592,126.95154
37.519778,126.951749
37.519871,126.951851
