kml_lat,kml_lng,matched_lat,matched_lng,distance,link_id,railway_name
37.555946,126.972317,37.551388739501256,126.97096800425928,0.004752726876425916,TRN210000000054I1,지하철1호선
37.5559419,126.972314,37.551388739501256,126.97096800425928,0.004747944298469174,TRN210000000054I1,지하철1호선
37.5556169,126.972227,37.551388739501256,126.97096800425928,0.004411622318182029,TRN210000000054I1,지하철1호선
37.5547421,126.972115,37.551388739501256,126.97096800425928,0.003544097327073573,TRN210000000054I1,지하철1호선
37.5539121,126.972036,37.551388739501256,126.97096800425928,0.0027400662599325934,TRN210000000054I1,지하철1호선
37.553299,126.971976,37.551388739501256,126.97096800425928,0.00215989596656513,TRN210000000054I1,지하철1호선
37.5526581,126.971895,37.551388739501256,126.97096800425928,0.0015718133410500808,TRN210000000054I1,지하철1호선
37.5521981,126.971822,37.551388739501256,126.97096800425928,0.0011765938730519392,TRN210000000054I1,지하철1호선
37.55172,126.971715,37.551388739501256,126.97096800425928,0.000817151243463516,TRN210000000054I1,지하철1호선
37.5511151,126.9715759,37.551388739501256,126.97096800425928,0.0006666451891710273,TRN210000000054I1,지하철1호선
37.5509161,126.971522,37.55084310640301,126.97081599512198,0.0007097682389193812,TRN210000000054J2,지하철1호선
37.5507081,126.97148,37.55019047656151,126.9713131790977,0.0005438411877716111,TRN210000000054K3,지하철1호선
37.5503289,126.9714061,37.55019047656151,126.9713131790977,0.0001667193522198701,TRN210000000054K3,지하철1호선
37.5499141,126.9713549,37.55019047656151,126.9713131790977,0.0002795078486180201,TRN210000000054K3,지하철1호선
37.549653,126.9713361,37.54953592195915,126.97128975847622,0.00012591586268734237,TRN210000000054K3,지하철1호선
37.549301,126.971318,37.54953592195915,126.97128975847622,0.00023661342006592233,TRN210000000054K3,지하철1호선
37.548553,126.9712939,37.54820682873883,126.97120367489944,0.0003577360910399046,TRN210000000054EX,지하철1호선
37.5477781,126.971271,37.54783772238667,126.97119195960535,9.900612596431161e-05,TRN210000000054EX,지하철1호선
37.5470841,126.971247,37.54692176972994,126.97120131920745,0.0001686352613938388,TRN210000000054EX,지하철1호선
37.546534,126.971232,37.54664703639227,126.97116826857413,0.00012976486666618832,TRN210000000054EX,지하철1호선
37.545687,126.971221,37.54490910769874,126.97120402595137,0.0007780774708751924,TRN210000000054EX,지하철1호선
37.545201,126.971227,37.54490910769874,126.97120402595137,0.0002927950177906359,TRN210000000054EX,지하철1호선
37.5444799,126.971237,37.544303562498015,126.97120596450155,0.00017904780582269947,TRN210000000054EX,지하철1호선
37.5440391,126.9712429,37.54377718659664,126.97119627056853,0.0002660318303073724,TRN210000000054EX,지하철1호선
37.542706,126.9712839,37.542458442008275,126.9712153925741,0.000256862271796873,TRN210000000054EX,지하철1호선
37.54167,126.971321,37.5416775566109,126.97121686774645,0.0001044060754866031,TRN210000000053GY,지하철1호선
37.541003,126.971308,37.54085835086375,126.97122936131922,0.00016464329543868018,TRN210000000053CU,지하철1호선
37.540606,126.971313,37.54085835086375,126.97122936131922,0.00026585031006092256,TRN210000000053CU,지하철1호선
37.540408,126.9713039,37.54085835086375,126.97122936131922,0.0004564777271823711,TRN210000000053CU,지하철1호선
37.539552,126.9713049,37.53948142322023,126.9712357539018,9.880417370071279e-05,TRN210000000053CU,지하철1호선
37.5389391,126.971291,37.538490511192876,126.97121453038659,0.00045505990776101605,TRN210000000053CU,지하철1호선
37.53793,126.971259,37.53788837235865,126.9711741808077,9.448362772769235e-05,TRN210000000053CU,지하철1호선
37.5373081,126.971222,37.53713383350756,126.9710948955975,0.0002156950150551127,TRN210000000053CU,지하철1호선
37.53692,126.971171,37.536917177902566,126.971060759875,0.00011027624129069928,TRN210000000053CU,지하철1호선
37.536369,126.971077,37.53651687472903,126.97101153865962,0.00016171617905727547,TRN210000000053CU,지하철1호선
37.536117,126.9710241,37.53610284140988,126.97093962337904,8.565491907760093e-05,TRN210000000053CU,지하철1호선
37.5359,126.97097,37.535920480957344,126.97089355619202,7.913991022707904e-05,TRN210000000053CU,지하철1호선
37.535529,126.9708509,37.53549479901188,126.97074613798533,0.00011020339063029259,TRN210000000053CU,지하철1호선
37.535285,126.9707521,37.53542357131,126.97069721935341,0.00014904325990780867,TRN210000000053CU,지하철1호선
37.5351219,126.970675,37.535148756122084,126.9705604016249,0.00011770318122407758,TRN210000000053CU,지하철1호선
37.534942,126.9705989,37.535148756122084,126.9705604016249,0.00021030981647170068,TRN210000000053CU,지하철1호선
37.5347061,126.970466,37.534683142823084,126.97026042506083,0.00020685281624370177,TRN210000000053CU,지하철1호선
37.534407,126.9702891,37.534591789637744,126.97019224067536,0.00020863590052364574,TRN210000000053CU,지하철1호선
37.534217,126.9701559,37.534347351746604,126.97002341299955,0.00018586119317749188,TRN210000000053CU,지하철1호선
37.534063,126.970034,37.53418106943717,126.96991032696855,0.00017098365623954975,TRN210000000053CU,지하철1호선
37.5338271,126.9698449,37.533875654698434,126.96970737302404,0.00014584659014514717,TRN210000000053CU,지하철1호선
37.533663,126.969711,37.533808941698446,126.96965992075215,0.00015462234284677122,TRN210000000053CU,지하철1호선
37.533509,126.9695551,37.53361016266109,126.9694415084968,0.00015210822987735432,TRN210000000053CU,지하철1호선
37.533263,126.969309,37.533328920954126,126.96912276362454,0.00019755900317617917,TRN210000000052O5,지하철1호선
37.533218,126.969265,37.533328920954126,126.96912276362454,0.00018037362491979734,TRN210000000052O5,지하철1호선
37.533054,126.9690411,37.533138280339045,126.96888976935124,0.00017321703381731527,TRN210000000052O5,지하철1호선
