lat,lng
37.555946,126.972317
37.5559419,126.972314
37.5556169,126.972227
37.5547421,126.972115
37.5539121,126.972036
37.553299,126.971976
37.5526581,126.971895
37.5521981,126.971822
37.55172,126.971715
37.5511151,126.9715759
37.5509161,126.971522
37.5507081,126.97148
37.5503289,126.9714061
37.5499141,126.9713549
37.549653,126.9713361
37.549301,126.971318
37.548553,126.9712939
37.5477781,126.971271
37.5470841,126.971247
37.546534,126.971232
37.545687,126.971221
37.545201,126.971227
37.5444799,126.971237
37.5440391,126.9712429
37.542706,126.9712839
37.54167,126.971321
37.541003,126.971308
37.540606,126.971313
37.540408,126.9713039
37.539552,126.9713049
37.5389391,126.971291
37.53793,126.971259
37.5373081,126.971222
37.53692,126.971171
37.536369,126.971077
37.536117,126.9710241
37.5359,126.97097
37.535529,126.9708509
37.535285,126.9707521
37.5351219,126.970675
37.534942,126.9705989
37.5347061,126.970466
37.534407,126.9702891
37.534217,126.9701559
37.534063,126.970034
37.5338271,126.9698449
37.533663,126.969711
37.533509,126.9695551
37.533263,126.969309
37.533218,126.969265
37.533054,126.9690411
37.532798,126.968682
37.532324,126.9680321
37.531339,126.9666991
37.5308919,126.9660831
37.530081,126.964974
37.5298709,126.964694
37.529753,126.964549
37.5296668,126.9644439
37.529643,126.9644151
37.52968,126.9644261
37.529488,126.9641909
37.529251,126.963843
37.52874,126.9631491
37.527883,126.9619729
37.527318,126.9612
37.5268249,126.960528
37.5261681,126.9595869
37.525849,126.9591609
37.52553,126.9587239
37.525283,126.9583769
37.524937,126.957975
37.524046,126.9570029
37.523063,126.95593
37.5221261,126.9549249
37.5216901,126.9544449
37.521389,126.9541321
37.520926,126.9536301
37.520352,126.953004
37.519816,126.9524229
37.519406,126.951988
37.51846,126.9509831
37.517842,126.9503359
37.517232,126.949654
37.516868,126.949286
37.516504,126.9488841
37.516159,126.948527
37.515922,126.94827
37.5157671,126.9480909
37.515585,126.9478559
37.515467,126.947699
37.515238,126.947318
37.5150269,126.946925
37.514889,126.946599
37.5147971,126.946363
37.514695,126.9460701
37.514593,126.945687
37.514527,126.945427
37.5144511,126.944965
37.514381,126.9442301
37.51433,126.9434959
37.51429,126.9430329
37.514258,126.942513
37.5142052,126.9416591
37.5142049,126.9416541
37.513985,126.940153
37.513908,126.9395991
37.513859,126.9392039
37.51381,126.938798
37.51376,126.938199
37.513693,126.936729
