timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_available,gps_lat,gps_lng,gps_alt,satellites
2025-09-23T10:42:58.843935,-0.008,-0.009,0.259,0.394,-0.324,-0.236,False,,,0.0,0
2025-09-23T10:42:58.853550,-0.007,-0.009,0.258,0.499,-0.403,-0.228,False,,,0.0,0
2025-09-23T10:42:58.863165,-0.007,-0.009,0.258,0.394,-0.35,-0.245,False,,,0.0,0
2025-09-23T10:42:58.872780,-0.007,-0.009,0.259,0.455,-0.35,-0.236,False,,,0.0,0
2025-09-23T10:42:58.882395,-0.009,-0.009,0.259,0.429,-0.298,-0.192,False,,,0.0,0
2025-09-23T10:42:58.892010,-0.007,-0.01,0.256,0.429,-0.394,-0.254,False,,,0.0,0
2025-09-23T10:42:58.901625,-0.008,-0.009,0.258,0.464,-0.368,-0.201,False,,,0.0,0
2025-09-23T10:42:58.911240,-0.007,-0.009,0.258,0.438,-0.359,-0.245,False,,,0.0,0
2025-09-23T10:42:58.920855,-0.008,-0.009,0.259,0.455,-0.324,-0.228,False,,,0.0,0
2025-09-23T10:42:58.930470,-0.007,-0.01,0.257,0.411,-0.341,-0.236,False,,,0.0,0
2025-09-23T10:42:58.940085,-0.007,-0.009,0.259,0.481,-0.385,-0.236,False,,,0.0,0
2025-09-23T10:42:58.949700,-0.007,-0.009,0.259,0.385,-0.315,-0.219,False,,,0.0,0
2025-09-23T10:42:58.959315,-0.008,-0.009,0.26,0.42,-0.376,-0.228,False,,,0.0,0
2025-09-23T10:42:58.968930,-0.008,-0.008,0.259,0.455,-0.35,-0.201,False,,,0.0,0
2025-09-23T10:42:58.978545,-0.007,-0.01,0.257,0.446,-0.376,-0.254,False,,,0.0,0
2025-09-23T10:42:58.988160,-0.008,-0.009,0.259,0.446,-0.333,-0.228,False,,,0.0,0
2025-09-23T10:42:58.997775,-0.008,-0.01,0.259,0.411,-0.315,-0.219,False,,,0.0,0
2025-09-23T10:42:59.007390,-0.008,-0.009,0.259,0.481,-0.394,-0.21,False,,,0.0,0
2025-09-23T10:42:59.017005,-0.007,-0.01,0.257,0.42,-0.341,-0.21,False,,,0.0,0
2025-09-23T10:42:59.026620,-0.007,-0.009,0.259,0.472,-0.385,-0.236,False,,,0.0,0
2025-09-23T10:42:59.036235,-0.007,-0.009,0.259,0.411,-0.35,-0.219,False,,,0.0,0
2025-09-23T10:42:59.045850,-0.007,-0.01,0.256,0.472,-0.368,-0.219,False,,,0.0,0
2025-09-23T10:42:59.055465,-0.008,-0.009,0.258,0.446,-0.35,-0.219,False,,,0.0,0
2025-09-23T10:42:59.065080,-0.007,-0.01,0.257,0.429,-0.359,-0.271,False,,,0.0,0
2025-09-23T10:42:59.074695,-0.008,-0.009,0.259,0.472,-0.333,-0.21,False,,,0.0,0
2025-09-23T10:42:59.084310,-0.007,-0.01,0.258,0.455,-0.333,-0.245,False,,,0.0,0
2025-09-23T10:42:59.093925,-0.008,-0.009,0.259,0.481,-0.411,-0.219,False,,,0.0,0
2025-09-23T10:42:59.103540,-0.007,-0.01,0.257,0.385,-0.368,-0.236,False,,,0.0,0
2025-09-23T10:42:59.113155,-0.008,-0.01,0.258,0.455,-0.35,-0.254,False,,,0.0,0
2025-09-23T10:42:59.122770,-0.007,-0.009,0.259,0.446,-0.324,-0.228,False,,,0.0,0
2025-09-23T10:42:59.132385,-0.008,-0.009,0.259,0.455,-0.35,-0.219,False,,,0.0,0
2025-09-23T10:42:59.142000,-0.007,-0.01,0.257,0.429,-0.368,-0.254,False,,,0.0,0
2025-09-23T10:42:59.151615,-0.008,-0.009,0.259,0.49,-0.368,-0.201,False,,,0.0,0
2025-09-23T10:42:59.161230,-0.007,-0.01,0.258,0.42,-0.376,-0.245,False,,,0.0,0
2025-09-23T10:42:59.170845,-0.008,-0.009,0.259,0.472,-0.403,-0.21,False,,,0.0,0
2025-09-23T10:42:59.180460,-0.007,-0.01,0.258,0.446,-0.35,-0.254,False,,,0.0,0
2025-09-23T10:42:59.190075,-0.008,-0.01,0.259,0.446,-0.376,-0.201,False,,,0.0,0
2025-09-23T10:42:59.199690,-0.008,-0.01,0.259,0.42,-0.341,-0.228,False,,,0.0,0
2025-09-23T10:42:59.209305,-0.008,-0.009,0.259,0.446,-0.333,-0.228,False,,,0.0,0
2025-09-23T10:42:59.218920,-0.007,-0.01,0.257,0.411,-0.35,-0.245,False,,,0.0,0
2025-09-23T10:42:59.228535,-0.007,-0.009,0.258,0.411,-0.324,-0.236,False,,,0.0,0
2025-09-23T10:42:59.238150,-0.007,-0.01,0.258,0.411,-0.359,-0.262,False,,,0.0,0
2025-09-23T10:42:59.247765,-0.007,-0.009,0.259,0.438,-0.333,-0.21,False,,,0.0,0
2025-09-23T10:42:59.257380,-0.008,-0.01,0.259,0.455,-0.35,-0.228,False,,,0.0,0
2025-09-23T10:42:59.266995,-0.007,-0.008,0.259,0.438,-0.359,-0.201,False,,,0.0,0
2025-09-23T10:42:59.276610,-0.007,-0.01,0.257,0.403,-0.341,-0.236,False,,,0.0,0
2025-09-23T10:42:59.286225,-0.008,-0.009,0.259,0.507,-0.359,-0.201,False,,,0.0,0
2025-09-23T10:42:59.295840,-0.007,-0.01,0.257,0.429,-0.341,-0.254,False,,,0.0,0
2025-09-23T10:42:59.305455,-0.008,-0.01,0.259,0.464,-0.341,-0.228,False,,,0.0,0
2025-09-23T10:42:59.315070,-0.007,-0.009,0.258,0.429,-0.341,-0.228,False,,,0.0,0
2025-09-23T10:42:59.324685,-0.008,-0.01,0.258,0.429,-0.368,-0.271,False,,,0.0,0
2025-09-23T10:42:59.334300,-0.007,-0.009,0.258,0.455,-0.341,-0.21,False,,,0.0,0
2025-09-23T10:42:59.343915,-0.008,-0.01,0.257,0.42,-0.368,-0.228,False,,,0.0,0
2025-09-23T10:42:59.353530,-0.007,-0.009,0.258,0.472,-0.35,-0.201,False,,,0.0,0
2025-09-23T10:42:59.363145,-0.007,-0.01,0.258,0.42,-0.333,-0.254,False,,,0.0,0
2025-09-23T10:42:59.372760,-0.007,-0.009,0.259,0.446,-0.35,-0.236,False,,,0.0,0
2025-09-23T10:42:59.382375,-0.007,-0.01,0.257,0.411,-0.35,-0.245,False,,,0.0,0
2025-09-23T10:42:59.391990,-0.008,-0.01,0.258,0.446,-0.359,-0.236,False,,,0.0,0
2025-09-23T10:42:59.401605,-0.007,-0.008,0.258,0.455,-0.35,-0.228,False,,,0.0,0
2025-09-23T10:42:59.411220,-0.008,-0.009,0.259,0.42,-0.341,-0.228,False,,,0.0,0
2025-09-23T10:42:59.420835,-0.007,-0.009,0.258,0.411,-0.341,-0.219,False,,,0.0,0
2025-09-23T10:42:59.430450,-0.008,-0.01,0.258,0.446,-0.376,-0.245,False,,,0.0,0
2025-09-23T10:42:59.440065,-0.007,-0.009,0.259,0.464,-0.411,-0.219,False,,,0.0,0
2025-09-23T10:42:59.449680,-0.007,-0.01,0.259,0.411,-0.368,-0.254,False,,,0.0,0
2025-09-23T10:42:59.459295,-0.008,-0.01,0.259,0.42,-0.341,-0.201,False,,,0.0,0
2025-09-23T10:42:59.468910,-0.008,-0.01,0.259,0.438,-0.385,-0.236,False,,,0.0,0
2025-09-23T10:42:59.478525,-0.008,-0.01,0.259,0.464,-0.438,-0.245,False,,,0.0,0
2025-09-23T10:42:59.488140,-0.007,-0.008,0.258,0.438,-0.359,-0.236,False,,,0.0,0
2025-09-23T10:42:59.497755,-0.008,-0.01,0.259,0.464,-0.324,-0.236,False,,,0.0,0
2025-09-23T10:42:59.507370,-0.008,-0.009,0.259,0.438,-0.368,-0.192,False,,,0.0,0
2025-09-23T10:42:59.516985,-0.007,-0.009,0.258,0.455,-0.35,-0.201,False,,,0.0,0
2025-09-23T10:42:59.526600,-0.008,-0.01,0.259,0.429,-0.28,-0.271,False,,,0.0,0
2025-09-23T10:42:59.536215,-0.008,-0.009,0.259,0.446,-0.385,-0.21,False,,,0.0,0
2025-09-23T10:42:59.545830,-0.008,-0.01,0.258,0.455,-0.403,-0.236,False,,,0.0,0
2025-09-23T10:42:59.555445,-0.007,-0.009,0.258,0.464,-0.359,-0.21,False,,,0.0,0
2025-09-23T10:42:59.565060,-0.007,-0.008,0.258,0.438,-0.324,-0.245,False,,,0.0,0
2025-09-23T10:42:59.574675,-0.008,-0.009,0.257,0.438,-0.35,-0.201,False,,,0.0,0
2025-09-23T10:42:59.584290,-0.007,-0.008,0.259,0.429,-0.376,-0.236,False,,,0.0,0
2025-09-23T10:42:59.593905,-0.007,-0.009,0.258,0.455,-0.333,-0.219,False,,,0.0,0
2025-09-23T10:42:59.603520,-0.007,-0.009,0.259,0.42,-0.315,-0.254,False,,,0.0,0
2025-09-23T10:42:59.613135,-0.007,-0.008,0.259,0.446,-0.341,-0.262,False,,,0.0,0
